code,name,industry,category,latest_date,tdx_formula_b1_date,tdx_formula_b1_value,close,pct_chg,amplitude,j_value,wl,yl,wl_gt_yl,close_gt_yl,close_gt_65,yang_yin_ok,key_k_recent,plry_count_28,shrink_ok,liquidity_ok,mv_ok,no_high_open_big_yin,no_maxvol_yin,no_two_limit_down,avg_amount_28_yi,market_cap_yi,rise_from_60_low,retreat_from_60_high,turnover_up_wave,up_wave_gain,near_support,stop_loss,formula_satisfied,formula_missing,z_satisfied,z_missing,historical_like,risk_flags,action,score,priority
002956.SZ,西麦食品,食品加工,结构观察A,2026-05-29,20260529,0,21.96,0.0157,0.0458,85.01,21.453,20.516,True,True,True,False,True,2,True,True,False,True,True,True,1.247,0.69,0.2827,-0.1062,0.2648,0.4352,靠近白线,20.208,白线>黄线；收盘>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(85.0)；14/21日阳量强于阴量；市值>50亿,N型/上涨后回调；左侧有异动或关键K；右侧缩量；靠近白线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,,国轩高科变量型：时间换空间，洗盘不极致但仍在结构内；新瀚新材横盘压缩型：回调不深，高位箱体压缩,暂无硬风险，但仍需次日确认,观察：结构像历史强图，但最新 J 值不在 B1 低位，不能按当日 B1 买,72,A
600150.SH,中国船舶,航海装备,结构观察A,2026-05-29,20260529,0,37.38,-0.021,0.0351,14.03,38.856,37.328,True,True,False,False,True,3,True,True,False,True,True,True,52.2,28.13,0.246,-0.1391,0.3325,0.4473,靠近黄线,36.768,白线>黄线；收盘>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(14.0)；14/21日阳量强于阴量；市值>50亿,N型/上涨后回调；左侧有异动或关键K；右侧缩量；靠近黄线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,,华纳药厂/娜娜图：放量启动后缩量回踩，接近黄线或碗沿；国轩高科变量型：时间换空间，洗盘不极致但仍在结构内,暂无硬风险，但仍需次日确认,观察：结构像历史强图，但最新 J 值不在 B1 低位，不能按当日 B1 买,72,A
601838.SH,成都银行,地方性银行,结构观察B,2026-05-29,20260529,0,18.6,0.0092,0.0277,47.52,18.588,18.003,True,True,True,False,True,1,False,True,False,True,True,True,4.083,7.88,0.1321,-0.0338,0.2419,0.1716,靠近黄线,17.733,白线>黄线；收盘>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(47.5)；14/21日阳量强于阴量；当前缩量/地量；市值>50亿,N型/上涨后回调；左侧有异动或关键K；靠近黄线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,右侧缩量,暂未匹配到高置信历史模板,暂无硬风险，但仍需次日确认,观察：有部分结构条件，需要重新等 J 低位或次日强确认,54,B
001301.SZ,尚太科技,电池,结构观察B,2026-05-29,20260529,0,87.52,-0.0555,0.0707,76.24,84.766,81.683,True,True,True,True,True,1,True,True,False,False,True,True,6.407,1.63,0.2492,-0.0785,1.3953,0.3557,靠近白线,80.457,白线>黄线；收盘>黄线；14/21日阳量强于阴量；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无28日天量阴线；24日无两连跌停,J<=13(76.2)；市值>50亿；无高位开盘放量阴线,N型/上涨后回调；左侧有异动或关键K；右侧缩量；靠近白线；建仓波涨幅未明显过高,B1日波动温和；建仓波换手未明显过热,新瀚新材横盘压缩型：回调不深，高位箱体压缩,建仓波换手偏高(140%),观察：有部分结构条件，需要重新等 J 低位或次日强确认,46,B
600037.SH,歌华有线,广播电视,淘汰,2026-05-29,20260529,,7.3,-0.0082,0.0217,2.41,7.755,7.725,True,False,False,False,True,1,True,True,False,True,True,True,1.539,1.02,0.0504,-0.1194,0.364,0.1928,靠近黄线,7.27,J<=13(2.4)；白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；靠近黄线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调,暂未匹配到高置信历史模板,暂无硬风险，但仍需次日确认,淘汰/暂不做：公式入池不等于可交易,42,C
603259.SH,XD药明康,医疗服务,淘汰,2026-05-29,20260529,0,101.6,0.024,0.0405,36.69,102.614,100.236,True,True,False,False,True,1,False,True,False,True,True,True,47.678,25.13,0.1882,-0.1002,0.4914,0.3205,靠近黄线,98.732,白线>黄线；收盘>黄线；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(36.7)；14/21日阳量强于阴量；当前缩量/地量；市值>50亿,N型/上涨后回调；左侧有异动或关键K；靠近黄线；B1日波动温和；建仓波涨幅未明显过高,右侧缩量；建仓波换手未明显过热,新瀚新材横盘压缩型：回调不深，高位箱体压缩,建仓波换手偏高(49%),淘汰/暂不做：公式入池不等于可交易,42,C
300750.SZ,宁德时代,电池,淘汰,2026-05-29,20260529,0,424.0,0.02,0.0344,82.72,420.708,410.613,True,True,False,False,False,0,False,True,True,True,True,True,160.934,180.49,0.2957,-0.0955,0.3657,0.4324,靠近黄线,404.453,白线>黄线；收盘>黄线；28日均额>0.005亿；市值>50亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(82.7)；14/21日阳量强于阴量；28日内有关键K/倍量柱；当前缩量/地量,N型/上涨后回调；靠近黄线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,左侧有异动或关键K；右侧缩量,新瀚新材横盘压缩型：回调不深，高位箱体压缩,暂无硬风险，但仍需次日确认,淘汰/暂不做：公式入池不等于可交易,38,C
605318.SH,法狮龙,装饰建材,严格B1低质,2026-05-29,20260529,0,92.12,-0.0156,0.0486,7.83,96.563,88.79,True,True,False,False,True,1,True,True,False,False,True,True,2.914,1.16,0.3745,-0.1446,1.1099,0.6068,靠近黄线,87.458,J<=13(7.8)；白线>黄线；收盘>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无28日天量阴线；24日无两连跌停,14/21日阳量强于阴量；市值>50亿；无高位开盘放量阴线,N型/上涨后回调；左侧有异动或关键K；右侧缩量；靠近黄线,B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,反面像：犬牙交错/呼吸紊乱，和完美 B1 有距离,K线/呼吸偏乱；建仓波换手偏高(111%)；建仓波涨幅偏高(61%),暂不做：当日 B1 条件成立，但图形质量或风险项不达标,38,C
600674.SH,川投能源,电力,淘汰,2026-05-29,20260529,0,15.5,0.0292,0.0385,69.78,15.11,15.036,True,True,True,True,True,2,False,True,False,True,True,True,5.34,7.56,0.0877,-0.0526,0.1529,0.1074,靠近黄线,14.81,白线>黄线；收盘>黄线；14/21日阳量强于阴量；28日内有关键K/倍量柱；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(69.8)；当前缩量/地量；市值>50亿,左侧有异动或关键K；靠近黄线；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调；右侧缩量；B1日波动温和,暂未匹配到高置信历史模板,暂无硬风险，但仍需次日确认,淘汰/暂不做：公式入池不等于可交易,32,C
603339.SH,四方科技,通用设备,淘汰,2026-05-29,20260529,0,12.69,-0.0178,0.0356,14.47,13.431,13.421,True,False,False,False,True,3,True,True,False,True,True,True,0.611,0.39,0.0772,-0.1314,0.3832,0.2402,靠近黄线,12.61,白线>黄线；28日内有关键K/倍量柱；当前缩量/地量；28日均额>0.005亿；无高位开盘放量阴线；无28日天量阴线；24日无两连跌停,J<=13(14.5)；收盘>黄线；14/21日阳量强于阴量；市值>50亿,左侧有异动或关键K；右侧缩量；靠近黄线；B1日波动温和；建仓波换手未明显过热；建仓波涨幅未明显过高,N型/上涨后回调,暂未匹配到高置信历史模板,暂无硬风险，但仍需次日确认,淘汰/暂不做：公式入池不等于可交易,32,C
